session,tx_seq,host_t,schema,control_seq,param_revision,input_seq,detail_flags,process_us,previous_mode,ref_start,ref_end,ref_count,center_count,hold_count,radar_packets,radar_crc_bad,radar_verlen_bad,radar_angle_bad,radar_header_missing,radar_sync_offset,radar_angle_bins,radar_sync_fail_total,radar_missing_total,input_drop_total,tx_drop_total,motor_drop_total,pd_err_previous,pd_err,pd_p,pd_d,pd_kp,pd_kd,pwm_unclamped,pwm_mid,ref_x,ref_y,ref_dy,pd_line_k,pd_line_b,pd_err_before_reset,center_mean,width_candidate
3546374300,3,0.5,1,200,0,203,584,58289,1,0,0,0,0,0,39,1,1,0,1,0,4039,0,29,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.8924865722656,0.0,5000.0
3546374300,7,0.7190000000000509,1,201,1,204,71,55350,1,9,12,3,0,0,39,0,0,0,0,0,3711,0,29,3,0,0,-300.8778381347656,-300.8778381347656,-118.84674835205078,0.0,0.039500001817941666,0.019999999552965164,1326.1531982421875,1445.0,-3.122154474258423,119.95841217041016,1080.0416259765625,1.2396340370178223,123.54908752441406,-300.8924865722656,0.0,5000.0
3546374300,23,0.8279999999999745,1,202,1,205,67,66726,1,7,9,2,0,0,38,0,0,0,0,0,1022,0,29,3,1,0,-300.8778381347656,-301.8916931152344,-119.24722290039062,-0.18598836660385132,0.039500001817941666,0.01834467239677906,1325.5667724609375,1445.0,-2.1083128452301025,112.97820281982422,1087.0218505859375,1.006194829940796,115.09957885742188,-300.8778381347656,0.0,5000.0
