session,param_revision,sample_seq,host_t,sample_us,encoder_raw,motor_pwm,speed_float,target_float,motor_integral,motor_prelimit,motor_flags,encoder_signed
919131803,1,1283,1.2819999999999254,12822417,16,100,6.25454568862915,10.0,0.0,0.0,7,16
919131803,1,1284,1.2819999999999254,12832418,16,100,6.181818008422852,10.0,0.0,0.0,7,16
919131803,1,1285,1.2819999999999254,12842418,13,100,5.818181991577148,10.0,0.0,0.0,7,13
919131803,1,1286,1.5159999999999627,12852418,13,100,5.454545497894287,10.0,0.0,0.0,7,13
919131803,1,1287,1.5159999999999627,12862418,12,100,5.090909004211426,10.0,0.0,0.0,7,12
919131803,1,1288,1.5159999999999627,12872418,13,100,4.872727394104004,10.0,0.0,0.0,7,13
919131803,1,1289,1.5159999999999627,12882417,13,100,4.654545307159424,10.0,0.0,0.0,7,13
919131803,1,1290,1.5159999999999627,12892417,14,100,4.7272725105285645,10.0,0.0,0.0,7,14
919131803,1,1291,1.5159999999999627,12902417,16,100,4.9454545974731445,10.0,0.0,0.0,7,16
919131803,1,1292,1.5159999999999627,12912417,16,100,5.236363410949707,10.0,0.0,0.0,7,16
919131803,1,1293,1.5159999999999627,12922417,18,100,5.599999904632568,10.0,0.0,0.0,7,18
919131803,1,1294,1.6099999999999,12932418,17,100,5.890909671783447,10.0,0.0,0.0,7,17
919131803,1,1295,1.6099999999999,12942418,18,100,6.181818008422852,10.0,0.0,0.0,7,18
919131803,1,1296,1.6099999999999,12952418,17,100,6.25454568862915,10.0,0.0,0.0,7,17
919131803,1,1297,1.6099999999999,12962418,18,100,6.400000095367432,10.0,0.0,0.0,7,18
919131803,1,1298,1.6099999999999,12972418,16,100,6.25454568862915,10.0,0.0,0.0,7,16
919131803,1,1299,1.6099999999999,12982418,18,100,6.327272891998291,10.0,0.0,0.0,7,18
919131803,1,1300,1.6099999999999,12992418,18,100,6.327272891998291,10.0,0.0,0.0,7,18
919131803,1,1301,1.6099999999999,13002418,18,100,6.400000095367432,10.0,0.0,0.0,7,18
919131803,1,1302,1.9539999999999509,13012418,18,100,6.400000095367432,10.0,0.0,0.0,7,18
919131803,1,1303,1.9539999999999509,13022418,20,100,6.690908908843994,10.0,0.0,0.0,7,20
919131803,1,1304,1.9539999999999509,13032418,19,100,6.763636589050293,10.0,0.0,0.0,7,19
919131803,1,1305,1.9539999999999509,13042418,21,100,6.981818675994873,10.0,0.0,0.0,7,21
919131803,1,1306,1.9539999999999509,13052418,21,100,7.1999993324279785,10.0,0.0,0.0,7,21
919131803,1,1307,1.9539999999999509,13062417,23,100,7.563636302947998,10.0,0.0,0.0,7,23
919131803,1,1308,1.9539999999999509,13072418,21,100,7.636363506317139,10.0,0.0,0.0,7,21
919131803,1,1309,1.9539999999999509,13082418,22,100,7.854545593261719,10.0,0.0,0.0,7,22
919131803,1,1310,1.9539999999999509,13092418,22,100,7.927272796630859,10.0,0.0,0.0,7,22
919131803,1,1311,1.9539999999999509,13102417,22,100,8.0,10.0,0.0,0.0,7,22
919131803,1,1312,1.9539999999999509,13112418,22,100,7.927272796630859,10.0,0.0,0.0,7,22
919131803,1,1313,1.9539999999999509,13122418,23,100,8.07272720336914,10.0,0.0,0.0,7,23
919131803,1,1314,1.9539999999999509,13132418,24,100,8.218181610107422,10.0,0.0,0.0,7,24
919131803,1,1315,1.9539999999999509,13142418,25,100,8.436363220214844,10.0,0.0,0.0,7,25
919131803,1,1316,1.9539999999999509,13152417,25,100,8.654545783996582,10.0,0.0,0.0,7,25
919131803,1,1317,1.9539999999999509,13162418,26,100,8.945454597473145,10.0,0.0,0.0,7,26
919131803,1,1318,1.9539999999999509,13172418,28,100,9.309090614318848,10.0,0.0,0.0,7,28
919131803,1,1319,1.9539999999999509,13182418,29,100,9.672727584838867,10.0,0.0,0.0,7,29
919131803,1,1320,1.9539999999999509,13192417,30,100,10.03636360168457,10.0,0.0,0.0,7,30
919131803,1,1321,1.9539999999999509,13202418,32,96,10.545454978942871,10.0,0.0,0.0,7,32
919131803,1,1322,1.9539999999999509,13212418,33,91,11.054545402526855,10.0,0.0,0.0,7,33
919131803,1,1323,1.9539999999999509,13222418,34,86,11.4909086227417,10.0,0.0,0.0,7,34
919131803,1,1324,1.9539999999999509,13232418,35,82,11.92727279663086,10.0,0.0,0.0,7,35
919131803,1,1325,1.9539999999999509,13242417,35,77,12.290908813476562,10.0,0.0,0.0,7,35
919131803,1,1326,1.9539999999999509,13252418,36,74,12.581817626953125,10.0,0.0,0.0,7,36
919131803,1,1327,1.9539999999999509,13262418,37,70,12.87272834777832,10.0,0.0,0.0,7,37
919131803,1,1328,1.9539999999999509,13272418,37,66,13.090909004211426,10.0,0.0,0.0,7,37
919131803,1,1329,1.9539999999999509,13282418,36,64,13.163636207580566,10.0,0.0,0.0,7,36
919131803,1,1330,1.9539999999999509,13292417,37,61,13.309089660644531,10.0,0.0,0.0,7,37
919131803,1,1331,1.9539999999999509,13302418,37,59,13.381817817687988,10.0,0.0,0.0,7,37
919131803,1,1332,1.9539999999999509,13312418,38,56,13.454545021057129,10.0,0.0,0.0,7,38
919131803,1,1333,1.9539999999999509,13322418,36,55,13.381817817687988,10.0,0.0,0.0,7,36
919131803,1,1334,1.9539999999999509,13332418,38,52,13.527273178100586,10.0,0.0,0.0,7,38
919131803,1,1335,1.9539999999999509,13342418,36,51,13.454545021057129,10.0,0.0,0.0,7,36
919131803,1,1336,1.9539999999999509,13352418,35,51,13.309089660644531,10.0,0.0,0.0,7,35
919131803,1,1337,1.9539999999999509,13362418,34,52,13.018181800842285,10.0,0.0,0.0,7,34
919131803,1,1338,1.9539999999999509,13372417,35,51,12.945453643798828,10.0,0.0,0.0,7,35
919131803,1,1339,1.9539999999999509,13382417,34,52,12.654545783996582,10.0,0.0,0.0,7,34
919131803,1,1340,1.9539999999999509,13392418,35,51,12.581817626953125,10.0,0.0,0.0,7,35
919131803,1,1341,1.9539999999999509,13402418,35,50,12.581817626953125,10.0,0.0,0.0,7,35
919131803,1,1342,1.9539999999999509,13412418,35,48,12.654545783996582,10.0,0.0,0.0,7,35
919131803,1,1343,1.9539999999999509,13422418,35,47,12.654545783996582,10.0,0.0,0.0,7,35
919131803,1,1344,1.9539999999999509,13432417,32,47,12.5090913772583,10.0,0.0,0.0,7,32
919131803,1,1345,1.9539999999999509,13442417,33,47,12.363636016845703,10.0,0.0,0.0,7,33
919131803,1,1346,1.9539999999999509,13452417,32,47,12.145455360412598,10.0,0.0,0.0,7,32
919131803,1,1347,1.9539999999999509,13462418,32,48,11.92727279663086,10.0,0.0,0.0,7,32
919131803,1,1348,1.9539999999999509,13472418,31,50,11.636363983154297,10.0,0.0,0.0,7,31
919131803,1,1349,1.9539999999999509,13482418,32,49,11.636363983154297,10.0,0.0,0.0,7,32
919131803,1,1350,2.062999999999988,13492418,32,49,11.563636779785156,10.0,0.0,0.0,7,32
919131803,1,1351,2.062999999999988,13502417,32,48,11.563636779785156,10.0,0.0,0.0,7,32
919131803,1,1352,2.062999999999988,13512418,32,47,11.563636779785156,10.0,0.0,0.0,7,32
919131803,1,1353,2.062999999999988,13522418,30,47,11.4909086227417,10.0,0.0,0.0,7,30
919131803,1,1354,2.062999999999988,13532418,30,48,11.345454216003418,10.0,0.0,0.0,7,30
919131803,1,1355,2.062999999999988,13542418,30,48,11.199999809265137,10.0,0.0,0.0,7,30
919131803,1,1356,2.062999999999988,13552417,31,48,11.127272605895996,10.0,0.0,0.0,7,31
919131803,1,1357,2.062999999999988,13562418,31,49,11.054545402526855,10.0,0.0,0.0,7,31
919131803,1,1358,2.187999999999988,13572418,30,48,11.054545402526855,10.0,0.0,0.0,7,30
919131803,1,1359,2.187999999999988,13582418,32,46,11.199999809265137,10.0,0.0,0.0,7,32
919131803,1,1360,2.187999999999988,13592417,30,46,11.199999809265137,10.0,0.0,0.0,7,30
919131803,1,1361,2.187999999999988,13602418,30,46,11.127272605895996,10.0,0.0,0.0,7,30
919131803,1,1362,2.187999999999988,13612418,29,46,10.981818199157715,10.0,0.0,0.0,7,29
919131803,1,1363,2.187999999999988,13622418,29,47,10.909090995788574,10.0,0.0,0.0,7,29
919131803,1,1364,2.187999999999988,13632418,28,49,10.618182182312012,10.0,0.0,0.0,7,28
919131803,1,1365,2.187999999999988,13642418,30,48,10.618182182312012,10.0,0.0,0.0,7,30
