t,err,servo_pwm,pid_select,Midline.k,Midline.b,Forward.k,Forward.b,Forward_2.k,Forward_3.k,RIGHT_duandian,LEFT_duandian,paodao_distance,valid_couter,RIGHT_cnt,LEFT_cnt,Forward_cnt,Forward_cnt_2,Forward_cnt_3,Speed_now,Speed_mubiao,danbian_flag,state_left_cnt,state_right_cnt,state_left_cnt_2,state_right_cnt_2,zhongxian_chuizhi,version,session,tx_seq,control_seq,input_end_ms,control_end_ms,control_dt_us,valid_mask,updated_mask,clipped_mask,action_reason,motor_state,lidar_id,algorithm_id,param_revision,raw_count,radar_dps,segment,host_t
0.0,nan,1324.0,nan,nan,nan,nan,nan,nan,nan,71.0,0.0,608.0,382.0,54.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,3546374300,2,200,23983,24041,81772,2113928706,2113926682,0,5,3,1,2,0,456,2172,1,0.5
0.112,-300.9,1326.0,1.0,1.24,124.0,-1.435,2054.0,nan,nan,77.0,0.0,608.0,360.0,84.0,13.0,4.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,3546374300,5,201,24098,24153,112040,2113928831,2113926783,0,1,3,1,2,1,468,2145,2,0.7190000000000509
0.238,-301.9,1325.0,1.0,1.006,115.0,-8.731,4111.0,nan,nan,143.0,0.0,608.0,310.0,27.0,10.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,3546374300,10,202,24212,24279,125376,2113928831,2113926783,0,1,3,1,2,1,456,2112,2,0.7190000000000509
