t,err,servo_pwm,pid_select,Midline.k,Midline.b,Forward.k,Forward.b,Forward_2.k,Forward_3.k,RIGHT_duandian,LEFT_duandian,paodao_distance,valid_couter,RIGHT_cnt,LEFT_cnt,Forward_cnt,Forward_cnt_2,Forward_cnt_3,Speed_now,Speed_mubiao,danbian_flag,state_left_cnt,state_right_cnt,state_left_cnt_2,state_right_cnt_2,zhongxian_chuizhi,version,session,tx_seq,control_seq,input_end_ms,control_end_ms,control_dt_us,valid_mask,updated_mask,clipped_mask,action_reason,motor_state,lidar_id,algorithm_id,param_revision,raw_count,radar_dps,segment,host_t
1.854,440.9,1625.0,2.0,nan,nan,nan,nan,nan,nan,0.0,194.0,899.0,215.0,6.0,53.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,49,545,62975,63008,122397,2113928711,2113926687,0,1,2,1,1,1,456,2187,2,2.3129999999998745
2.025,nan,1625.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,310.0,44.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,50,546,63089,63179,171055,2113928706,2147481114,0,2,2,1,1,1,444,2176,2,2.515999999999849
2.085,432.6,1609.0,2.0,-0.08,143.0,nan,nan,nan,nan,0.0,80.0,899.0,279.0,49.0,63.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,52,547,63203,63239,60261,2113928735,2113926687,0,1,2,1,1,1,444,2186,2,2.515999999999849
2.23,431.4,1610.0,2.0,-0.384,159.0,nan,nan,nan,nan,0.0,368.0,899.0,342.0,24.0,83.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,53,548,63317,63384,144710,2113928735,2113926687,0,1,2,1,1,1,444,2170,2,2.7029999999999745
2.346,313.9,1540.0,2.0,-0.262,97.0,nan,nan,nan,nan,0.0,455.0,899.0,343.0,17.0,29.0,0.0,0.0,0.0,3276.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,54,549,63432,63500,115799,2113928735,2113926687,262144,1,2,1,1,1,456,2177,2,2.7970000000000255
2.454,37.3,1481.0,5.0,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,278.0,51.0,39.0,0.0,0.0,0.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,13.0,2,1097883296,55,550,63546,63608,108408,2147483143,2147481095,0,1,2,1,1,1,444,2170,2,2.890999999999849
2.567,418.9,1681.0,2.0,-0.076,144.0,nan,nan,nan,nan,0.0,365.0,899.0,321.0,39.0,80.0,0.0,0.0,0.0,3276.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,56,551,63660,63721,112709,2113928735,2113926687,262144,1,2,1,1,1,444,2164,2,3.015999999999849
2.652,nan,1681.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,111.0,1.0,3.0,0.0,0.0,0.0,3276.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,57,552,63774,63806,84931,2113928706,2147481114,262144,2,2,1,1,1,180,0,2,3.1099999999999
2.797,-1.0,1170.0,7.0,-3.776,148.0,nan,nan,nan,nan,0.0,0.0,899.0,252.0,50.0,19.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,58,553,63889,63951,144856,2147483167,2147481119,0,1,2,1,1,1,456,2140,2,3.25
2.904,402.4,1679.0,2.0,-0.612,176.0,nan,nan,nan,nan,0.0,396.0,899.0,291.0,42.0,73.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,59,554,64003,64058,107878,2113928735,2113926687,0,1,2,1,1,1,444,2169,2,3.3599999999999
3.028,449.5,1626.0,2.0,nan,nan,nan,nan,nan,nan,0.0,453.0,899.0,315.0,0.0,64.0,0.0,0.0,0.0,3276.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,60,555,64117,64182,123104,2113928711,2113926687,262144,1,2,1,1,1,444,2121,2,3.5
3.138,nan,1626.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,233.0,45.0,0.0,0.0,0.0,0.0,3276.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,62,556,64231,64292,110833,2113928706,2147481114,262144,2,2,1,1,1,444,2157,2,3.5779999999999745
3.245,392.6,1583.0,2.0,0.207,158.0,nan,nan,nan,nan,0.0,549.0,899.0,293.0,48.0,73.0,0.0,0.0,0.0,3276.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,63,557,64346,64399,106228,2113928735,2113926687,262144,1,2,1,1,1,456,2196,2,3.6879999999998745
3.418,nan,1583.0,nan,nan,nan,nan,nan,nan,nan,0.0,644.0,899.0,342.0,11.0,86.0,1.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,64,558,64460,64572,173496,2113928706,2147481210,0,2,2,1,1,1,444,2190,2,3.9220000000000255
3.492,nan,1583.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,259.0,54.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,65,559,64574,64646,73653,2113928706,2147481114,0,2,2,1,1,1,444,2164,2,4.031999999999925
3.581,0.0,1353.0,4.0,nan,nan,nan,nan,nan,nan,0.0,305.0,899.0,361.0,79.0,55.0,2.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,66,560,64688,64735,88929,2113928711,2113926759,0,1,2,1,1,1,444,2111,2,4.031999999999925
3.659,nan,1353.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,67,561,64802,64813,78316,2113928706,2147481114,0,2,2,1,1,1,60,34671,2,4.093999999999824
3.859,nan,1353.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,331.0,52.0,5.0,0.0,0.0,0.0,3276.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,68,562,64917,65013,200074,2113928706,2147481114,262144,2,2,1,1,1,456,2141,2,4.2970000000000255
3.915,12.8,1447.0,1.0,-0.862,2047.0,nan,nan,nan,nan,155.0,885.0,848.0,354.0,76.0,68.0,0.0,0.0,0.0,3276.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,69,563,65031,65069,55853,2113928735,2113928735,262144,1,2,1,1,1,444,2149,2,4.375
4.101,173.8,1621.0,7.0,17.385,1999.0,nan,nan,nan,nan,0.0,861.0,848.0,366.0,36.0,81.0,0.0,5.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,70,564,65145,65255,185955,2147483167,2147481119,0,1,2,1,1,1,444,2155,2,4.5629999999998745
4.203,135.0,1458.0,0.0,2.084,324.0,nan,nan,nan,nan,0.0,0.0,851.0,313.0,31.0,18.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,72,565,65259,65357,101954,2147483167,2147483167,0,1,2,1,1,1,444,2166,2,4.6720000000000255
4.283,166.4,1521.0,0.0,-4.239,139.0,nan,nan,nan,nan,0.0,905.0,851.0,346.0,88.0,54.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,73,566,65374,65437,80469,2147483167,2147481119,0,1,2,1,1,1,456,2177,2,4.75
4.445,139.2,1468.0,0.0,-5.906,22.0,nan,nan,nan,nan,0.0,912.0,851.0,396.0,70.0,85.0,0.0,21.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,74,567,65488,65599,161513,2147483167,2147481119,0,1,2,1,1,1,444,2167,2,4.906999999999925
4.545,139.8,1489.0,7.0,2.691,418.0,nan,nan,nan,nan,0.0,0.0,887.0,294.0,7.0,44.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,75,568,65602,65699,99800,2147483167,2147483167,0,1,2,1,1,1,444,2182,2,4.968999999999824
4.621,nan,1489.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,887.0,278.0,86.0,29.0,0.0,21.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,76,569,65716,65775,76598,2113928706,2147481114,0,2,2,1,1,1,372,0,2,5.0779999999999745
4.78,142.2,1491.0,0.0,-7.274,-105.0,nan,nan,nan,nan,0.0,894.0,887.0,403.0,85.0,84.0,0.0,21.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,77,570,65831,65934,158627,2147483167,2147481119,0,1,2,1,1,1,456,2180,2,5.2349999999999
4.889,nan,1491.0,nan,nan,nan,nan,nan,nan,nan,0.0,891.0,887.0,299.0,0.0,73.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,78,571,65945,66043,109668,2113928706,2147481114,0,2,2,1,1,1,444,2154,2,5.3279999999999745
4.971,nan,1491.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,887.0,308.0,85.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,79,572,66059,66125,81555,2113928706,2147481114,0,2,2,1,1,1,444,2159,2,5.4220000000000255
5.108,129.3,1475.0,5.0,nan,nan,nan,nan,nan,nan,0.0,908.0,887.0,389.0,87.0,84.0,0.0,21.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,80,573,66173,66262,137207,2113928711,2147481095,0,1,2,1,1,1,444,2181,2,5.5779999999999745
5.236,nan,1475.0,nan,nan,nan,nan,nan,nan,nan,0.0,924.0,887.0,341.0,18.0,82.0,0.0,18.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,82,574,66288,66390,127899,2113928706,2147481114,0,2,2,1,1,1,456,2164,2,5.7029999999999745
5.34,nan,1475.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,887.0,330.0,58.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,83,575,66402,66494,103465,2113928706,2147481114,0,2,2,1,1,1,444,2168,2,5.781999999999925
5.433,147.9,1505.0,5.0,nan,nan,nan,nan,nan,nan,0.0,892.0,887.0,373.0,87.0,79.0,0.0,21.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,84,576,66516,66587,93338,2113928711,2147481095,0,1,2,1,1,1,444,2160,2,5.906999999999925
5.585,177.1,1523.0,5.0,nan,nan,nan,nan,nan,nan,0.0,912.0,887.0,370.0,37.0,84.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,85,577,66630,66739,151839,2113928711,2147481095,0,1,2,1,1,1,444,2161,2,6.093999999999824
5.641,nan,1523.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,768.0,186.0,36.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,86,578,66745,66795,56202,2113928706,2147483162,0,2,2,1,1,1,240,0,2,6.093999999999824
5.772,164.0,1487.0,5.0,nan,nan,nan,nan,nan,nan,0.0,915.0,768.0,384.0,85.0,56.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,87,579,66859,66926,131228,2113928711,2147481095,0,1,2,1,1,1,444,2159,2,6.218999999999824
5.935,164.5,1498.0,5.0,nan,nan,nan,nan,nan,nan,0.0,915.0,768.0,408.0,64.0,85.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,88,580,66973,67089,162593,2113928711,2147481095,0,1,2,1,1,1,444,2165,2,6.390999999999849
6.055,173.9,1507.0,7.0,-30.0,-25554.0,nan,nan,nan,nan,0.0,0.0,846.0,367.0,11.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,89,581,67087,67209,120595,2147483167,2147483167,8,1,2,1,1,1,444,2159,2,6.515999999999849
6.13,175.1,1502.0,5.0,nan,nan,nan,nan,nan,nan,0.0,918.0,846.0,381.0,80.0,38.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,90,582,67202,67284,74483,2113928711,2147481095,0,1,2,1,1,1,456,2163,2,6.593999999999824
6.265,158.3,1482.0,0.0,11.6,1780.0,nan,nan,nan,nan,0.0,891.0,846.0,395.0,84.0,83.0,0.0,21.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,92,583,67316,67419,135536,2147483167,2147481119,0,1,2,1,1,1,444,2167,2,6.7029999999999745
6.401,nan,1482.0,nan,nan,nan,nan,nan,nan,nan,0.0,891.0,823.0,372.0,0.0,60.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,93,584,67430,67555,135073,2113928706,2147483162,0,2,2,1,1,1,444,2169,2,6.843999999999824
6.476,nan,1482.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,823.0,366.0,85.0,14.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,94,585,67544,67630,75627,2113928706,2147481114,0,2,2,1,1,1,444,2150,2,6.9220000000000255
6.601,167.3,1505.0,0.0,9.048,1498.0,nan,nan,nan,nan,0.0,911.0,812.0,386.0,85.0,84.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,95,586,67659,67755,124706,2147483167,2147483167,0,1,2,1,1,1,456,2148,2,7.093999999999824
6.64,nan,1505.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,812.0,75.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,96,587,67773,67794,39603,2113928706,2147481114,0,2,2,1,1,1,96,0,2,7.093999999999824
6.823,nan,1505.0,nan,nan,nan,-8.641,3695.0,nan,nan,0.0,0.0,812.0,370.0,75.0,0.0,9.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,97,588,67887,67977,182541,2113928802,2147481210,0,2,2,1,1,1,444,2152,2,7.281999999999925
6.929,177.7,1510.0,5.0,nan,nan,nan,nan,nan,nan,0.0,914.0,805.0,376.0,86.0,83.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,98,589,68001,68083,106315,2113928711,2147483143,0,1,2,1,1,1,444,2166,2,7.375
7.084,nan,1510.0,nan,nan,nan,nan,nan,nan,nan,0.0,861.0,805.0,405.0,18.0,85.0,0.0,18.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,99,590,68115,68238,155147,2113928706,2147481114,0,2,2,1,1,1,444,2156,2,7.515999999999849
7.193,nan,1510.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,881.0,382.0,57.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,100,591,68230,68347,108930,2113928706,2147483162,0,2,2,1,1,1,456,2157,2,7.718999999999824
7.263,182.5,1507.0,5.0,nan,nan,nan,nan,nan,nan,0.0,889.0,807.0,372.0,88.0,73.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,102,592,68344,68417,69368,2113928711,2147483143,0,1,2,1,1,1,444,2165,2,7.718999999999824
7.421,193.3,1515.0,0.0,-4.318,12.0,nan,nan,nan,nan,0.0,894.0,807.0,402.0,43.0,86.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,103,593,68458,68575,157862,2147483167,2147481119,0,1,2,1,1,1,444,2148,2,7.875
7.531,216.9,1533.0,5.0,nan,nan,nan,nan,nan,nan,0.0,0.0,812.0,357.0,28.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,104,594,68572,68685,110038,2113928711,2147483143,0,1,2,1,1,1,444,2169,2,8.031999999999925
7.598,175.1,1469.0,5.0,nan,nan,nan,nan,nan,nan,0.0,917.0,812.0,362.0,84.0,61.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,105,595,68686,68752,66876,2113928711,2147481095,0,1,2,1,1,1,432,0,2,8.031999999999925
7.76,172.7,1498.0,5.0,nan,nan,nan,nan,nan,nan,0.0,890.0,812.0,406.0,66.0,85.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,106,596,68800,68914,162746,2113928711,2147481095,0,1,2,1,1,1,444,2161,2,8.202999999999975
7.88,233.8,1567.0,5.0,nan,nan,nan,nan,nan,nan,0.0,0.0,808.0,365.0,9.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,107,597,68914,69034,119744,2113928711,2147483143,0,1,2,1,1,1,444,2156,2,8.406999999999925
7.953,nan,1567.0,nan,nan,nan,nan,nan,nan,nan,0.0,958.0,808.0,364.0,82.0,34.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,108,598,69028,69107,72861,2113928706,2147481114,0,2,2,1,1,1,444,2159,2,8.406999999999925
8.094,170.1,1451.0,0.0,8.305,1435.0,nan,nan,nan,nan,0.0,915.0,876.0,396.0,84.0,84.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,109,599,69143,69248,141480,2147483167,2147483167,0,1,2,1,1,1,456,2173,2,8.547000000000025
8.231,nan,1451.0,nan,nan,nan,nan,nan,nan,nan,0.0,892.0,805.0,382.0,0.0,61.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,110,600,69258,69385,137056,2113928706,2147483162,0,2,2,1,1,1,444,2159,2,8.687999999999874
8.309,nan,1451.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,805.0,372.0,79.0,11.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,112,601,69372,69463,77938,2113928706,2147481114,0,2,2,1,1,1,444,2146,2,8.765999999999849
8.426,176.9,1507.0,5.0,nan,nan,nan,nan,nan,nan,0.0,919.0,808.0,370.0,81.0,84.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,113,602,69486,69580,116240,2113928711,2147483143,0,1,2,1,1,1,444,2150,2,8.875
8.569,nan,1507.0,nan,nan,nan,nan,nan,nan,nan,0.0,924.0,808.0,398.0,3.0,81.0,0.0,3.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,114,603,69601,69723,143034,2113928706,2147481114,0,2,2,1,1,1,456,2168,2,9.062999999999874
8.626,nan,1507.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,808.0,227.0,69.0,6.0,1.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,115,604,69714,69780,57406,2113928706,2147481210,0,2,2,1,1,1,288,0,2,9.062999999999874
8.754,181.8,1507.0,5.0,nan,nan,nan,nan,nan,nan,652.0,926.0,811.0,372.0,85.0,84.0,0.0,21.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,116,605,69828,69908,128357,2113928711,2147483143,0,1,2,1,1,1,444,2167,2,9.218999999999824
8.911,nan,1507.0,nan,nan,nan,nan,nan,nan,nan,667.0,922.0,811.0,402.0,21.0,84.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,117,606,69942,70065,156272,2113928706,2147481114,0,2,2,1,1,1,444,2167,2,9.375
9.02,nan,1507.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,858.0,381.0,55.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,118,607,70057,70174,109263,2113928706,2147483162,0,2,2,1,1,1,456,2155,2,9.5
9.087,181.3,1503.0,5.0,nan,nan,nan,nan,nan,nan,687.0,894.0,806.0,365.0,84.0,72.0,0.0,21.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,119,608,70171,70241,67111,2113928711,2147483143,0,1,2,1,1,1,444,2169,2,9.547000000000025
9.259,179.3,1501.0,5.0,nan,nan,0.397,877.0,1.818,-0.397,698.0,915.0,806.0,405.0,45.0,86.0,28.0,21.0,11.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,nan,2,1097883296,120,609,70285,70413,171533,2113929191,2147481575,0,1,2,1,1,1,444,2154,2,9.702999999999975
9.368,215.4,1542.0,5.0,nan,nan,nan,nan,nan,nan,0.0,0.0,805.0,352.0,28.0,19.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,nan,2,1097883296,122,610,70399,70522,109393,2113928711,2147483143,0,1,2,1,1,1,444,2168,2,9.906999999999925
9.432,176.5,1472.0,5.0,nan,nan,nan,nan,nan,nan,670.0,914.0,805.0,378.0,80.0,54.0,0.0,21.0,15.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,nan,2,1097883296,123,611,70514,70586,64035,2113928711,2147481095,0,1,2,1,1,1,456,2166,2,9.906999999999925
