t,err,servo_pwm,pid_select,Midline.k,Midline.b,Forward.k,Forward.b,Forward_2.k,Forward_3.k,RIGHT_duandian,LEFT_duandian,paodao_distance,valid_couter,RIGHT_cnt,LEFT_cnt,Forward_cnt,Forward_cnt_2,Forward_cnt_3,Speed_now,Speed_mubiao,danbian_flag,state_left_cnt,state_right_cnt,state_left_cnt_2,state_right_cnt_2,zhongxian_chuizhi,version,session,tx_seq,control_seq,input_end_ms,control_end_ms,control_dt_us,valid_mask,updated_mask,clipped_mask,action_reason,motor_state,lidar_id,algorithm_id,param_revision,raw_count,radar_dps,segment,host_t
0.0,nan,1656.0,nan,nan,nan,-0.155,220.0,nan,nan,0.0,0.0,899.0,26.0,7.0,1.0,4.0,9.0,0.0,8.2,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,2,529,61147,61154,58176,2113928802,2147481210,0,2,2,1,1,0,36,7924,1,0.45299999999997453
0.152,55.8,1501.0,5.0,nan,nan,-0.087,250.0,-0.06,-0.178,0.0,0.0,899.0,228.0,59.0,30.0,21.0,18.0,20.0,8.6,10.0,1.0,0.0,0.0,0.0,0.0,nan,2,1097883296,3,530,61261,61306,151867,2113929191,2147481575,0,1,2,1,1,0,444,2228,1,0.6099999999999
0.314,42.7,1445.0,0.0,0.161,200.0,-0.089,198.0,nan,nan,0.0,765.0,899.0,302.0,48.0,78.0,7.0,4.0,10.0,9.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,4,531,61375,61468,161786,2147483263,2147481215,0,1,2,1,1,1,444,2250,2,0.890999999999849
0.391,449.5,1698.0,2.0,nan,nan,nan,nan,nan,nan,0.0,17.0,899.0,286.0,0.0,64.0,0.0,0.0,0.0,8.3,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,35,532,61490,61545,77207,2113928711,2113926687,0,1,2,1,1,1,456,2211,2,1.0779999999999745
0.525,nan,1698.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,283.0,63.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,36,533,61604,61679,133740,2113928706,2147481114,0,2,2,1,1,1,444,2198,2,1.0779999999999745
0.598,434.1,1608.0,2.0,-0.087,133.0,nan,nan,nan,nan,0.0,31.0,899.0,231.0,51.0,53.0,0.0,0.0,0.0,5.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,37,534,61718,61752,73069,2113928735,2113926687,0,1,2,1,1,1,444,2211,2,1.0779999999999745
0.73,435.8,1612.0,2.0,-0.114,136.0,nan,nan,nan,nan,0.0,17.0,899.0,281.0,14.0,52.0,0.0,0.0,0.0,2.3,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,38,535,61832,61884,132261,2113928735,2113926687,0,1,2,1,1,1,444,2205,2,1.1879999999998745
0.858,nan,1612.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,233.0,29.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,39,536,61946,62012,127590,2113928706,2147481114,0,2,2,1,1,1,444,2203,2,1.3129999999998745
0.965,55.0,1500.0,0.0,-0.303,135.0,nan,nan,nan,nan,0.0,0.0,899.0,254.0,56.0,32.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,40,537,62061,62119,106518,2147483167,2147481119,0,1,2,1,1,1,456,2192,2,1.4220000000000255
1.044,361.9,1644.0,2.0,0.049,125.0,nan,nan,nan,nan,0.0,170.0,899.0,179.0,40.0,42.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,42,538,62175,62198,79917,2113928735,2113926687,0,1,2,1,1,1,444,2179,2,1.4849999999999
1.16,449.5,1635.0,2.0,nan,nan,nan,nan,nan,nan,0.0,169.0,899.0,171.0,1.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,43,539,62289,62314,115293,2113928711,2113926687,0,1,2,1,1,1,444,2166,2,1.6099999999999
1.313,nan,1635.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,259.0,56.0,16.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,44,540,62403,62467,152943,2113928706,2147481114,0,2,2,1,1,1,444,2169,2,1.7819999999999254
1.405,53.9,1499.0,5.0,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,169.0,57.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,45,541,62518,62559,92347,2113928711,2147481095,0,1,2,1,1,1,456,2172,2,1.8439999999998236
1.516,nan,1499.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,132.0,0.0,26.0,0.0,0.0,0.0,3276.7,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,46,542,62632,62670,110588,2113928706,2147481114,262144,2,2,1,1,1,444,2146,2,1.9689999999998236
1.635,nan,1499.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,899.0,164.0,54.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097883296,47,543,62746,62789,119349,2147483138,2147481114,0,2,2,1,1,1,312,0,2,2.0939999999998236
1.731,385.7,1658.0,2.0,-0.148,138.0,nan,nan,nan,nan,0.0,175.0,899.0,211.0,50.0,44.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,nan,2,1097883296,48,544,62860,62885,96470,2113928735,2113926687,0,1,2,1,1,1,444,2185,2,2.1720000000000255
